,susceptible,infected,immune,deceased,recovered,newlyInfected,infectedChange
Day 0,953,1,46,0,0,0,1
Day 1,953,1,46,0,0,0,0
Day 2,953,1,46,0,0,0,0
Day 3,953,1,46,0,0,0,0
Day 4,949,5,46,0,0,0,4
Day 5,947,7,46,0,0,0,2
Day 6,946,8,46,0,0,0,1
Day 7,945,9,46,0,0,0,1
Day 8,937,17,46,0,0,0,8
Day 9,936,18,46,0,0,0,1
Day 10,932,21,46,0,1,0,3
Day 11,931,22,46,0,1,0,1
Day 12,919,34,46,0,1,0,12
Day 13,912,41,46,0,1,0,7
Day 14,907,42,46,0,5,0,1
Day 15,904,43,46,2,5,0,1
Day 16,895,51,46,2,6,0,8
Day 17,885,60,46,2,7,0,9
Day 18,879,58,46,6,11,0,-2
Day 19,870,66,46,7,11,0,8
Day 20,858,74,46,8,14,0,8
Day 21,851,80,46,8,15,0,6
Day 22,845,74,46,10,25,0,-6
Day 23,840,72,46,11,31,0,-2
Day 24,833,74,46,11,36,0,2
Day 25,823,81,46,11,39,0,7
Day 26,813,82,46,11,48,0,1
Day 27,805,80,46,14,55,0,-2
Day 28,801,78,46,17,58,0,-2
Day 29,791,79,46,20,64,0,1
Day 30,782,76,46,25,71,0,-3
Day 31,767,84,46,26,77,0,8
Day 32,756,89,46,26,83,0,5
Day 33,744,96,46,26,88,0,7
Day 34,731,102,46,28,93,0,6
Day 35,724,99,46,32,99,0,-3
Day 36,708,105,46,34,107,0,6
Day 37,696,109,46,35,114,0,4
Day 38,684,117,46,37,116,0,8
Day 39,668,123,46,38,125,0,6
Day 40,657,125,46,39,133,0,2
Day 41,643,124,46,42,145,0,-1
Day 42,624,132,46,43,155,0,8
Day 43,603,141,46,45,165,0,9
Day 44,585,146,46,47,176,0,5
Day 45,569,155,46,51,179,0,9
Day 46,556,152,46,53,193,0,-3
Day 47,533,163,46,55,203,0,11
Day 48,505,179,46,58,212,0,16
Day 49,490,178,46,59,227,0,-1
Day 50,470,187,46,61,236,0,9
Day 51,452,191,46,62,249,0,4
Day 52,423,201,46,66,264,0,10
Day 53,401,202,46,73,278,0,1
Day 54,381,204,46,78,291,0,2
Day 55,356,213,46,83,302,0,9
Day 56,330,226,46,84,314,0,13
Day 57,306,227,46,87,334,0,1
Day 58,296,209,46,93,356,0,-18
Day 59,274,216,46,97,367,0,7
Day 60,260,210,46,103,381,0,-6
Day 61,242,210,46,106,396,0,0
Day 62,225,198,46,115,416,0,-12
Day 63,195,206,46,120,433,0,8
Day 64,180,201,46,123,450,0,-5
Day 65,160,196,46,130,468,0,-5
Day 66,145,185,46,132,492,0,-11
Day 67,130,176,46,136,512,0,-9
Day 68,115,181,46,140,518,0,5
Day 69,106,168,46,147,533,0,-13
Day 70,91,169,46,150,544,0,1
Day 71,80,162,46,155,557,0,-7
Day 72,67,158,46,159,570,0,-4
Day 73,59,136,46,166,593,0,-22
Day 74,49,131,46,169,605,0,-5
Day 75,44,116,46,173,621,0,-15
Day 76,32,113,46,178,631,0,-3
Day 77,25,105,46,179,645,0,-8
Day 78,21,94,46,182,657,0,-11
Day 79,14,92,46,183,665,0,-2
Day 80,8,83,46,184,679,0,-9
Day 81,7,73,46,186,688,0,-10
Day 82,5,62,46,187,700,0,-11
Day 83,5,54,46,190,705,0,-8
Day 84,3,46,46,193,712,0,-8
Day 85,3,41,46,194,716,0,-5
Day 86,3,29,46,196,726,0,-12
Day 87,3,22,46,198,731,0,-7
Day 88,3,18,46,199,734,0,-4
Day 89,3,11,46,200,740,0,-7
Day 90,3,5,46,200,746,0,-6
Day 91,3,4,46,201,746,0,-1
Day 92,3,2,46,202,747,0,-2
Day 93,3,2,46,202,747,0,0
Day 94,3,0,46,204,747,0,0
Day 95,3,0,46,204,747,0,0
Day 96,3,0,46,204,747,0,0
Day 97,3,0,46,204,747,0,0
Day 98,3,0,46,204,747,0,0
Day 99,3,0,46,204,747,0,0
